feature,mean_delta,std_delta,n_folds,stability_score,stability_tag
D_est,0.0008095448525207,0.0010007281505119,3,0.8089558101244976,weak
P_est,0.0007045577525232,0.0009902404486352,3,0.7115016890925389,weak
area_delta_mean,0.000450844587026,0.0009245782499995,3,0.48762188223508607,weak
early_speed_mean,0.0004143480155318,0.0010488581540467,3,0.39504675969588215,weak
r_peak__log1p,0.0,0.0,3,0.0,weak
n_stationary__log1p,0.0,0.0,3,0.0,weak
n_stationary,0.0,0.0,3,0.0,weak
r_peak,0.0,0.0,3,0.0,weak
temporal_persistence,-6.768851004341861e-05,0.0007534598645789,3,0.08983691519044883,weak
early_area_mean__log1p,-0.0005346537007145,0.0006490215614037,3,0.8237841879002756,weak
late_area_mean,-0.0006705867955216,0.0022195660867392,3,0.30212517627922697,weak
K,-0.0008000924310758,0.0042917893503318,3,0.18642397507872108,weak
area_trend_slope,-0.001100567039481,0.0011953994792064,3,0.9206688288763301,weak
orientation_delta_mean,-0.0012137770685317,0.0018932858085126,3,0.6410955294933363,weak
K_x__log1p,-0.00143067016283,0.0019604031530105,3,0.7297836467479675,weak
K_y__log1p,-0.00143067016283,0.0019604031530105,3,0.7297836467479675,weak
K__log1p,-0.00143067016283,0.0019604031530105,3,0.7297836467479675,weak
total_path_length,-0.0015486455063967,0.0010082931745964,3,1.5359079520504386,weak
orientation_slope,-0.0018040743602239,0.0021231119343843,3,0.8497311564956882,weak
late_area_mean__log1p,-0.0019948870778534,0.0025074147559043,3,0.7955951732198959,weak
eccentricity_slope,-0.0021359768079027,0.0018575772226508,3,1.1498724148354629,weak
P_est__log1p,-0.0022282285598045,0.0016972691982405,3,1.3128315536519461,weak
P_est_y__log1p,-0.0022282285598045,0.0016972691982405,3,1.3128315536519461,weak
P_est_x__log1p,-0.0022282285598045,0.0016972691982405,3,1.3128315536519461,weak
eccentricity_delta_mean,-0.0023301088067191,0.0046142471550698,3,0.5049813605354806,weak
perimeter_delta_max__log1p,-0.0025446182818062,0.0043100003281542,3,0.5903986281842255,weak
early_area_mean,-0.0028802982017637,0.002886604042231,3,0.9978154809690345,weak
perimeter_delta_mean,-0.0029237317469425,0.004103364425628,3,0.7125206155147958,weak
eccentricity_trend_slope,-0.0035818543210912,0.0023682409136728,3,1.5124535256946503,weak
orientation_mean,-0.0039484185048248,0.0109628358373518,3,0.3601639724469707,weak
solidity_mean,-0.0045216848296582,0.0067141303644438,3,0.6734580032777364,weak
eccentricity_delta_max,-0.0046164735203896,0.0067294181421786,3,0.6860137714980862,weak
speed_acceleration,-0.0050751215614705,0.0025365470551245,3,2.000799294937819,weak
area_delta_max,-0.0051090299056634,0.0084866777453146,3,0.6020058800844692,weak
alpha,-0.0051931892037442,0.0045799029811357,3,1.1339081251285617,weak
solidity_delta_mean,-0.0053511017088548,0.0052986600961248,3,1.0098971458385217,weak
net_displacement,-0.0055427229753312,0.0074331928666344,3,0.7456718901328819,weak
late_speed_mean__log1p,-0.0057181385393567,0.0036708433077292,3,1.5577179570043398,weak
total_path_length__log1p,-0.0069666857705239,0.0110940637227657,3,0.6279651842633523,weak
area_slope,-0.0071712741697506,0.0121833829809369,3,0.588611076281747,weak
early_eccentricity_mean,-0.0072625067512412,0.0035082107284283,3,2.0701455275535006,weak
D_est__log1p,-0.0074315037299441,0.0035994355633048,3,2.0646303002730457,unstable
D_est_y__log1p,-0.0074315037299441,0.0035994355633048,3,2.0646303002730457,unstable
D_est_x__log1p,-0.0074315037299441,0.0035994355633048,3,2.0646303002730457,unstable
mean_speed__log1p,-0.007491799230736,0.0156335525110869,3,0.4792128484516749,unstable
speed_trend_slope,-0.007623114612603,0.0032875447107903,3,2.318786596350708,unstable
num_frames,-0.0078559426127454,0.0076399038639741,3,1.0282776788281005,unstable
max_speed,-0.0080250664267325,0.018206991792262,3,0.4407683882025144,unstable
perimeter_mean,-0.0081568436740797,0.0068120684729418,3,1.1974106991557802,unstable
area_delta_max__log1p,-0.0081630419139474,0.0084889288028367,3,0.9616103636371635,unstable
speed_cv,-0.0084835492133937,0.0143625207512358,3,0.5906727210175188,unstable
solidity_mean__log1p,-0.0084999721583549,0.0065257834656778,3,1.3025213297005296,unstable
perimeter_slope,-0.0093447239058371,0.0104623727079368,3,0.8931744419556932,unstable
eccentricity_delta_max__log1p,-0.0098358176192846,0.0130897009915117,3,0.7514165239459198,unstable
late_eccentricity_mean__log1p,-0.0100466932662452,0.0136448062998812,3,0.7363016406906685,unstable
solidity_slope,-0.0103559008123322,0.0082402965819317,3,1.2567388452719765,unstable
num_frames__log1p,-0.0116899114717134,0.0123750081637975,3,0.9446386875902872,unstable
mean_speed,-0.0140555733391757,0.0092841349595836,3,1.5139346206027329,unstable
area_mean,-0.0141931277307947,0.0189783458123426,3,0.7478590531750305,unstable
early_eccentricity_mean__log1p,-0.0154980026325786,0.0097104022374861,3,1.5960206644328272,unstable
early_speed_mean__log1p,-0.0156536904987384,0.0065264145580303,3,2.398513051408772,unstable
perimeter_delta_max,-0.0167828927836126,0.0115309370784384,3,1.4554665130849875,unstable
late_speed_mean,-0.0175749074142105,0.0154201711377306,3,1.1397349131922332,unstable
perimeter_mean__log1p,-0.0182184519342486,0.0090520702033187,3,2.0126282190737608,unstable
persistence_fraction,-0.0195007060049517,0.0096951819321141,3,2.0113811313170538,unstable
directionality_ratio,-0.0195007060049517,0.0096951819321141,3,2.0113811313170538,unstable
solidity_delta_max__log1p,-0.0228384486590131,0.0184953285895477,3,1.2348225416597904,unstable
area_volatility__log1p,-0.0228731929910126,0.0117742545877168,3,1.9426446760317078,unstable
directional_consistency__log1p,-0.0239834634913487,0.0217114757166234,3,1.1046445577110684,unstable
speed_cv__log1p,-0.0245682616841899,0.0136333118792909,3,1.8020758198678923,stable
late_eccentricity_mean,-0.0265203080490262,0.0241403285501013,3,1.0985893581724397,stable
directional_consistency,-0.0300660677400982,0.0175200053084179,3,1.7160992367928194,stable
directionality_ratio__log1p,-0.0300913550750096,0.0143329166780653,3,2.09945789463502,stable
persistence_fraction__log1p,-0.0300913550750096,0.0143329166780653,3,2.09945789463502,stable
orientation_delta_max__log1p,-0.0307545414537585,0.0123357424589568,3,2.4931244757736457,stable
area_mean__log1p,-0.0330502671970396,0.0157793086946063,3,2.094532012434889,stable
max_speed__log1p,-0.0358884510726757,0.0324370319788207,3,1.1064036652614255,stable
solidity_delta_max,-0.040422290844091,0.0483698073520358,3,0.835692616037554,unstable
orientation_delta_max,-0.0442427346045961,0.0112701171408204,3,3.925667679213653,stable
eccentricity_mean__log1p,-0.0496583054636058,0.0286585686671409,3,1.7327559529799492,stable
area_volatility,-0.0506982863465136,0.0284324965872006,3,1.7831106103975842,stable
net_displacement__log1p,-0.0533798896845182,0.062614528035113,3,0.852516043141478,unstable
eccentricity_mean,-0.0536425588681814,0.0358364055549093,3,1.4968733062386033,stable
corr_length__log1p,-0.0590658685868249,0.155774297853504,3,0.3791759577821592,unstable
g_peak__log1p,-0.0742959118102306,0.1355494030709031,3,0.5481094724616369,unstable
corr_length,-0.1145661177253992,0.3684258132219927,3,0.3109611585658824,unstable
g_peak,-0.1728633675801758,0.2678975583764903,3,0.6452592126151322,unstable
